case_id,field,metric,value,detail
c04_比菲多,per_serving.saturated_fat,within_tol,1,
c04_比菲多,per_serving.trans_fat,within_tol,1,
c04_比菲多,per_serving.carbohydrates,within_tol,1,
c04_比菲多,per_serving.sugar,within_tol,1,
c04_比菲多,per_serving.sodium,within_tol,1,
c04_比菲多,serving_size,within_tol,1,
c04_比菲多,servings_per_container,within_tol,1,
c06_奶茶,is_food_label,correct,1,
c06_奶茶,name,exact,1,sim=1.00
c06_奶茶,brand,exact,1,sim=1.00
c06_奶茶,manufacturer,exact,1,sim=1.00
c06_奶茶,allergy_warning,exact,1,sim=1.00
c06_奶茶,ingredients_list,f1,1.0,tp=6 fp=0 fn=0
c06_奶茶,ingredients_flat,f1,1.0,tp=5 fp=0 fn=0
c06_奶茶,ingredients_raw,char_sim,1.0,
c06_奶茶,nutrition.calories,within_tol,1,
c06_奶茶,nutrition.protein,within_tol,1,
c06_奶茶,nutrition.fat,within_tol,1,
c06_奶茶,nutrition.saturated_fat,within_tol,1,
c06_奶茶,nutrition.trans_fat,within_tol,1,
c06_奶茶,nutrition.carbohydrates,within_tol,1,
c06_奶茶,nutrition.sugar,within_tol,1,
c06_奶茶,nutrition.sodium,within_tol,1,
c06_奶茶,per_serving.calories,within_tol,1,
c06_奶茶,per_serving.protein,within_tol,1,
c06_奶茶,per_serving.fat,within_tol,1,
c06_奶茶,per_serving.saturated_fat,within_tol,1,
c06_奶茶,per_serving.trans_fat,within_tol,1,
c06_奶茶,per_serving.carbohydrates,within_tol,1,
c06_奶茶,per_serving.sugar,within_tol,1,
c06_奶茶,per_serving.sodium,within_tol,1,
c06_奶茶,serving_size,within_tol,1,
c06_奶茶,servings_per_container,within_tol,1,
c07_綠奶茶,is_food_label,correct,1,
c07_綠奶茶,name,exact,0,sim=0.75
c07_綠奶茶,brand,exact,1,sim=1.00
c07_綠奶茶,manufacturer,exact,1,sim=1.00
c07_綠奶茶,allergy_warning,exact,0,sim=0.58
c07_綠奶茶,ingredients_list,f1,0.526,tp=5 fp=6 fn=3
c07_綠奶茶,ingredients_flat,f1,0.591,tp=13 fp=11 fn=7
c07_綠奶茶,ingredients_raw,char_sim,0.548,
c07_綠奶茶,nutrition.calories,within_tol,1,
c07_綠奶茶,nutrition.protein,within_tol,1,
c07_綠奶茶,nutrition.fat,within_tol,1,
c07_綠奶茶,nutrition.saturated_fat,within_tol,1,
c07_綠奶茶,nutrition.trans_fat,within_tol,1,
c07_綠奶茶,nutrition.carbohydrates,within_tol,1,
c07_綠奶茶,nutrition.sugar,within_tol,1,
c07_綠奶茶,nutrition.sodium,within_tol,1,
c07_綠奶茶,per_serving.calories,within_tol,1,
c07_綠奶茶,per_serving.protein,within_tol,1,
c07_綠奶茶,per_serving.fat,within_tol,1,
c07_綠奶茶,per_serving.saturated_fat,within_tol,1,
c07_綠奶茶,per_serving.trans_fat,within_tol,1,
c07_綠奶茶,per_serving.carbohydrates,within_tol,1,
c07_綠奶茶,per_serving.sugar,within_tol,1,
c07_綠奶茶,per_serving.sodium,within_tol,1,
c07_綠奶茶,serving_size,within_tol,1,
c07_綠奶茶,servings_per_container,within_tol,1,
c07_綠奶茶,certification_marks,f1,0.667,
c13_紅茶,is_food_label,correct,1,
c13_紅茶,name,exact,1,sim=1.00
c13_紅茶,brand,exact,1,sim=1.00
c13_紅茶,manufacturer,exact,1,sim=1.00
c13_紅茶,allergy_warning,exact,1,sim=1.00
c13_紅茶,ingredients_list,f1,1.0,tp=7 fp=0 fn=0
c13_紅茶,ingredients_flat,f1,1.0,tp=7 fp=0 fn=0
c13_紅茶,ingredients_raw,char_sim,1.0,
c13_紅茶,nutrition.calories,within_tol,1,
c13_紅茶,nutrition.protein,within_tol,1,
c13_紅茶,nutrition.fat,within_tol,1,
c13_紅茶,nutrition.saturated_fat,within_tol,1,
c13_紅茶,nutrition.trans_fat,within_tol,1,
c13_紅茶,nutrition.carbohydrates,within_tol,1,
c13_紅茶,nutrition.sugar,within_tol,1,
c13_紅茶,nutrition.sodium,within_tol,1,
c13_紅茶,per_serving.calories,within_tol,1,
c13_紅茶,per_serving.protein,within_tol,1,
c13_紅茶,per_serving.fat,within_tol,1,
c13_紅茶,per_serving.saturated_fat,within_tol,1,
c13_紅茶,per_serving.trans_fat,within_tol,1,
c13_紅茶,per_serving.carbohydrates,within_tol,1,
c13_紅茶,per_serving.sugar,within_tol,1,
c13_紅茶,per_serving.sodium,within_tol,1,
c13_紅茶,serving_size,within_tol,1,
c13_紅茶,servings_per_container,within_tol,1,
c13_紅茶,certification_marks,f1,1.0,
c14_鮮乳,is_food_label,correct,1,
c14_鮮乳,name,exact,0,sim=0.82
c14_鮮乳,brand,exact,1,sim=1.00
c14_鮮乳,manufacturer,exact,1,sim=1.00
c14_鮮乳,allergy_warning,exact,1,sim=1.00
c14_鮮乳,ingredients_list,f1,1.0,tp=1 fp=0 fn=0
c14_鮮乳,ingredients_flat,f1,1.0,tp=1 fp=0 fn=0
c14_鮮乳,ingredients_raw,char_sim,1.0,
c14_鮮乳,nutrition.calories,within_tol,1,
c14_鮮乳,nutrition.protein,within_tol,1,
c14_鮮乳,nutrition.fat,within_tol,1,
c14_鮮乳,nutrition.saturated_fat,within_tol,1,
c14_鮮乳,nutrition.trans_fat,within_tol,1,
c14_鮮乳,nutrition.carbohydrates,within_tol,1,
