case_id,field,metric,value,detail
c24_優質蛋白奶-堅果杏仁,manufacturer,exact,0,sim=0.38
c24_優質蛋白奶-堅果杏仁,allergy_warning,exact,0,sim=0.25
c24_優質蛋白奶-堅果杏仁,ingredients_list,f1,0.187,tp=3 fp=8 fn=18
c24_優質蛋白奶-堅果杏仁,ingredients_flat,f1,0.095,tp=2 fp=12 fn=26
c24_優質蛋白奶-堅果杏仁,ingredients_raw,char_sim,0.154,
c24_優質蛋白奶-堅果杏仁,nutrition.calories,within_tol,0,
c24_優質蛋白奶-堅果杏仁,nutrition.protein,within_tol,0,
c24_優質蛋白奶-堅果杏仁,nutrition.fat,within_tol,0,
c24_優質蛋白奶-堅果杏仁,nutrition.saturated_fat,within_tol,1,
c24_優質蛋白奶-堅果杏仁,nutrition.trans_fat,within_tol,1,
c24_優質蛋白奶-堅果杏仁,nutrition.carbohydrates,within_tol,0,
c24_優質蛋白奶-堅果杏仁,nutrition.sugar,within_tol,0,
c24_優質蛋白奶-堅果杏仁,nutrition.sodium,within_tol,0,
c24_優質蛋白奶-堅果杏仁,per_serving.calories,within_tol,0,
c24_優質蛋白奶-堅果杏仁,per_serving.protein,within_tol,0,
c24_優質蛋白奶-堅果杏仁,per_serving.fat,within_tol,0,
c24_優質蛋白奶-堅果杏仁,per_serving.saturated_fat,within_tol,0,
c24_優質蛋白奶-堅果杏仁,per_serving.trans_fat,within_tol,1,
c24_優質蛋白奶-堅果杏仁,per_serving.carbohydrates,within_tol,0,
c24_優質蛋白奶-堅果杏仁,per_serving.sugar,within_tol,0,
c24_優質蛋白奶-堅果杏仁,per_serving.sodium,within_tol,0,
c24_優質蛋白奶-堅果杏仁,servings_per_container,within_tol,1,
c24_優質蛋白奶-堅果杏仁,certification_marks,f1,0.0,
c25_優質蛋白奶-無加糖燕麥,is_food_label,correct,1,
c25_優質蛋白奶-無加糖燕麥,name,exact,0,sim=0.50
c25_優質蛋白奶-無加糖燕麥,brand,exact,1,sim=1.00
c25_優質蛋白奶-無加糖燕麥,manufacturer,exact,1,sim=1.00
c25_優質蛋白奶-無加糖燕麥,allergy_warning,exact,0,sim=0.62
c25_優質蛋白奶-無加糖燕麥,ingredients_list,f1,0.857,tp=6 fp=1 fn=1
c25_優質蛋白奶-無加糖燕麥,ingredients_flat,f1,0.857,tp=6 fp=1 fn=1
c25_優質蛋白奶-無加糖燕麥,ingredients_raw,char_sim,0.944,
c25_優質蛋白奶-無加糖燕麥,nutrition.calories,within_tol,1,
c25_優質蛋白奶-無加糖燕麥,nutrition.protein,within_tol,1,
c25_優質蛋白奶-無加糖燕麥,nutrition.fat,within_tol,1,
c25_優質蛋白奶-無加糖燕麥,nutrition.saturated_fat,within_tol,1,
c25_優質蛋白奶-無加糖燕麥,nutrition.trans_fat,within_tol,1,
c25_優質蛋白奶-無加糖燕麥,nutrition.carbohydrates,within_tol,1,
c25_優質蛋白奶-無加糖燕麥,nutrition.sugar,within_tol,1,
c25_優質蛋白奶-無加糖燕麥,nutrition.sodium,within_tol,1,
c25_優質蛋白奶-無加糖燕麥,per_serving.calories,within_tol,1,
c25_優質蛋白奶-無加糖燕麥,per_serving.protein,within_tol,1,
c25_優質蛋白奶-無加糖燕麥,per_serving.fat,within_tol,1,
c25_優質蛋白奶-無加糖燕麥,per_serving.saturated_fat,within_tol,1,
c25_優質蛋白奶-無加糖燕麥,per_serving.trans_fat,within_tol,1,
c25_優質蛋白奶-無加糖燕麥,per_serving.carbohydrates,within_tol,1,
c25_優質蛋白奶-無加糖燕麥,per_serving.sugar,within_tol,1,
c25_優質蛋白奶-無加糖燕麥,per_serving.sodium,within_tol,1,
c25_優質蛋白奶-無加糖燕麥,serving_size,within_tol,1,
c25_優質蛋白奶-無加糖燕麥,servings_per_container,within_tol,1,
c26_冰鎮芭樂綠茶,is_food_label,correct,1,
c26_冰鎮芭樂綠茶,name,exact,0,sim=0.75
c26_冰鎮芭樂綠茶,brand,exact,0,sim=0.00
c26_冰鎮芭樂綠茶,manufacturer,exact,0,sim=0.80
c26_冰鎮芭樂綠茶,allergy_warning,exact,0,sim=0.00
c26_冰鎮芭樂綠茶,ingredients_list,f1,0.75,tp=6 fp=2 fn=2
c26_冰鎮芭樂綠茶,ingredients_flat,f1,0.75,tp=6 fp=2 fn=2
c26_冰鎮芭樂綠茶,ingredients_raw,char_sim,0.618,
c26_冰鎮芭樂綠茶,nutrition.calories,within_tol,1,
c26_冰鎮芭樂綠茶,nutrition.protein,within_tol,1,
c26_冰鎮芭樂綠茶,nutrition.fat,within_tol,1,
c26_冰鎮芭樂綠茶,nutrition.saturated_fat,within_tol,1,
c26_冰鎮芭樂綠茶,nutrition.trans_fat,within_tol,1,
c26_冰鎮芭樂綠茶,nutrition.carbohydrates,within_tol,1,
c26_冰鎮芭樂綠茶,nutrition.sugar,within_tol,1,
c26_冰鎮芭樂綠茶,nutrition.sodium,within_tol,1,
c26_冰鎮芭樂綠茶,per_serving.calories,within_tol,1,
c26_冰鎮芭樂綠茶,per_serving.protein,within_tol,1,
c26_冰鎮芭樂綠茶,per_serving.fat,within_tol,1,
c26_冰鎮芭樂綠茶,per_serving.saturated_fat,within_tol,1,
c26_冰鎮芭樂綠茶,per_serving.trans_fat,within_tol,1,
c26_冰鎮芭樂綠茶,per_serving.carbohydrates,within_tol,1,
c26_冰鎮芭樂綠茶,per_serving.sugar,within_tol,1,
c26_冰鎮芭樂綠茶,per_serving.sodium,within_tol,1,
c26_冰鎮芭樂綠茶,serving_size,within_tol,1,
c26_冰鎮芭樂綠茶,servings_per_container,within_tol,1,
c26_冰鎮芭樂綠茶,certification_marks,f1,1.0,
c27_冰鎮葡萄鮮冰茶,is_food_label,correct,1,
c27_冰鎮葡萄鮮冰茶,name,exact,0,sim=0.75
c27_冰鎮葡萄鮮冰茶,brand,exact,0,sim=0.00
c27_冰鎮葡萄鮮冰茶,manufacturer,exact,1,sim=1.00
c27_冰鎮葡萄鮮冰茶,allergy_warning,exact,0,sim=0.33
c27_冰鎮葡萄鮮冰茶,ingredients_list,f1,1.0,tp=8 fp=0 fn=0
c27_冰鎮葡萄鮮冰茶,ingredients_flat,f1,1.0,tp=7 fp=0 fn=0
c27_冰鎮葡萄鮮冰茶,ingredients_raw,char_sim,0.192,
c27_冰鎮葡萄鮮冰茶,nutrition.calories,within_tol,1,
c27_冰鎮葡萄鮮冰茶,nutrition.protein,within_tol,1,
c27_冰鎮葡萄鮮冰茶,nutrition.fat,within_tol,1,
c27_冰鎮葡萄鮮冰茶,nutrition.saturated_fat,within_tol,1,
c27_冰鎮葡萄鮮冰茶,nutrition.trans_fat,within_tol,1,
c27_冰鎮葡萄鮮冰茶,nutrition.carbohydrates,within_tol,1,
c27_冰鎮葡萄鮮冰茶,nutrition.sugar,within_tol,1,
c27_冰鎮葡萄鮮冰茶,nutrition.sodium,within_tol,1,
c27_冰鎮葡萄鮮冰茶,per_serving.calories,within_tol,1,
c27_冰鎮葡萄鮮冰茶,per_serving.protein,within_tol,1,
c27_冰鎮葡萄鮮冰茶,per_serving.fat,within_tol,1,
c27_冰鎮葡萄鮮冰茶,per_serving.saturated_fat,within_tol,1,
c27_冰鎮葡萄鮮冰茶,per_serving.trans_fat,within_tol,1,
c27_冰鎮葡萄鮮冰茶,per_serving.carbohydrates,within_tol,1,
c27_冰鎮葡萄鮮冰茶,per_serving.sugar,within_tol,1,
c27_冰鎮葡萄鮮冰茶,per_serving.sodium,within_tol,1,
c27_冰鎮葡萄鮮冰茶,servings_per_container,within_tol,1,
c27_冰鎮葡萄鮮冰茶,certification_marks,f1,1.0,
c28_北海鱈魚香絲,is_food_label,correct,1,
c28_北海鱈魚香絲,name,exact,1,sim=1.00
c28_北海鱈魚香絲,brand,exact,0,sim=0.00
c28_北海鱈魚香絲,manufacturer,exact,1,sim=1.00
c28_北海鱈魚香絲,allergy_warning,exact,0,sim=0.91
c28_北海鱈魚香絲,ingredients_list,f1,0.303,tp=5 fp=12 fn=11
c28_北海鱈魚香絲,ingredients_flat,f1,0.217,tp=5 fp=16 fn=20
c28_北海鱈魚香絲,ingredients_raw,char_sim,0.514,
c28_北海鱈魚香絲,nutrition.calories,within_tol,0,
c28_北海鱈魚香絲,nutrition.protein,within_tol,1,
c28_北海鱈魚香絲,nutrition.fat,within_tol,0,
c28_北海鱈魚香絲,nutrition.saturated_fat,within_tol,1,
c28_北海鱈魚香絲,nutrition.trans_fat,within_tol,1,
c28_北海鱈魚香絲,nutrition.carbohydrates,within_tol,0,
c28_北海鱈魚香絲,nutrition.sugar,within_tol,1,
c28_北海鱈魚香絲,nutrition.sodium,within_tol,1,
c28_北海鱈魚香絲,per_serving.calories,within_tol,0,
c28_北海鱈魚香絲,per_serving.protein,within_tol,1,
c28_北海鱈魚香絲,per_serving.fat,within_tol,1,
c28_北海鱈魚香絲,per_serving.saturated_fat,within_tol,1,
c28_北海鱈魚香絲,per_serving.trans_fat,within_tol,1,
c28_北海鱈魚香絲,per_serving.carbohydrates,within_tol,0,
c28_北海鱈魚香絲,per_serving.sugar,within_tol,1,
c28_北海鱈魚香絲,per_serving.sodium,within_tol,1,
c28_北海鱈魚香絲,serving_size,within_tol,1,
c28_北海鱈魚香絲,servings_per_container,within_tol,1,
c29_可口可樂,is_food_label,correct,1,
c29_可口可樂,name,exact,0,sim=0.19
c29_可口可樂,brand,exact,0,sim=0.00
c29_可口可樂,manufacturer,exact,0,sim=0.43
c29_可口可樂,ingredients_list,f1,1.0,tp=7 fp=0 fn=0
c29_可口可樂,ingredients_flat,f1,1.0,tp=7 fp=0 fn=0
c29_可口可樂,ingredients_raw,char_sim,1.0,
c29_可口可樂,per_serving.calories,within_tol,1,
c29_可口可樂,per_serving.protein,within_tol,1,
c29_可口可樂,per_serving.fat,within_tol,1,
c29_可口可樂,per_serving.saturated_fat,within_tol,1,
c29_可口可樂,per_serving.trans_fat,within_tol,1,
c29_可口可樂,per_serving.carbohydrates,within_tol,1,
c29_可口可樂,per_serving.sugar,within_tol,1,
c29_可口可樂,per_serving.sodium,within_tol,1,
c29_可口可樂,serving_size,within_tol,1,
c29_可口可樂,servings_per_container,within_tol,1,
c29_可口可樂,certification_marks,f1,1.0,
c30_吉士豬肉堡加蛋,is_food_label,correct,1,
c30_吉士豬肉堡加蛋,name,exact,0,sim=0.75
c30_吉士豬肉堡加蛋,brand,exact,0,sim=0.18
c30_吉士豬肉堡加蛋,manufacturer,exact,0,sim=0.11
c30_吉士豬肉堡加蛋,allergy_warning,exact,0,sim=0.71
c30_吉士豬肉堡加蛋,ingredients_list,f1,0.0,tp=0 fp=7 fn=8
c30_吉士豬肉堡加蛋,ingredients_flat,f1,0.0,tp=0 fp=6 fn=47
c30_吉士豬肉堡加蛋,ingredients_raw,char_sim,0.357,
c30_吉士豬肉堡加蛋,nutrition.calories,within_tol,1,
c30_吉士豬肉堡加蛋,nutrition.protein,within_tol,0,
c30_吉士豬肉堡加蛋,nutrition.fat,within_tol,1,
c30_吉士豬肉堡加蛋,nutrition.saturated_fat,within_tol,1,
c30_吉士豬肉堡加蛋,nutrition.trans_fat,within_tol,1,
c30_吉士豬肉堡加蛋,nutrition.carbohydrates,within_tol,1,
c30_吉士豬肉堡加蛋,nutrition.sugar,within_tol,0,
c30_吉士豬肉堡加蛋,nutrition.sodium,within_tol,1,
c30_吉士豬肉堡加蛋,per_serving.calories,within_tol,1,
c30_吉士豬肉堡加蛋,per_serving.protein,within_tol,0,
c30_吉士豬肉堡加蛋,per_serving.fat,within_tol,1,
c30_吉士豬肉堡加蛋,per_serving.saturated_fat,within_tol,1,
c30_吉士豬肉堡加蛋,per_serving.trans_fat,within_tol,1,
c30_吉士豬肉堡加蛋,per_serving.carbohydrates,within_tol,1,
c30_吉士豬肉堡加蛋,per_serving.sugar,within_tol,0,
c30_吉士豬肉堡加蛋,per_serving.sodium,within_tol,1,
c30_吉士豬肉堡加蛋,serving_size,within_tol,1,
c30_吉士豬肉堡加蛋,servings_per_container,within_tol,1,
c31_增雞蛋白餐,is_food_label,correct,1,
c31_增雞蛋白餐,name,exact,0,sim=0.83
c31_增雞蛋白餐,manufacturer,exact,0,sim=0.33
c31_增雞蛋白餐,allergy_warning,exact,0,sim=0.92
c31_增雞蛋白餐,ingredients_list,f1,0.25,tp=11 fp=44 fn=22
c31_增雞蛋白餐,ingredients_flat,f1,0.169,tp=7 fp=49 fn=20
c31_增雞蛋白餐,ingredients_raw,char_sim,0.277,
c31_增雞蛋白餐,nutrition.calories,within_tol,1,
c31_增雞蛋白餐,nutrition.protein,within_tol,1,
c31_增雞蛋白餐,nutrition.fat,within_tol,1,
c31_增雞蛋白餐,nutrition.saturated_fat,within_tol,1,
c31_增雞蛋白餐,nutrition.trans_fat,within_tol,1,
c31_增雞蛋白餐,nutrition.carbohydrates,within_tol,1,
c31_增雞蛋白餐,nutrition.sugar,within_tol,1,
c31_增雞蛋白餐,nutrition.sodium,within_tol,1,
c31_增雞蛋白餐,per_serving.calories,within_tol,1,
c31_增雞蛋白餐,per_serving.protein,within_tol,1,
c31_增雞蛋白餐,per_serving.fat,within_tol,1,
c31_增雞蛋白餐,per_serving.saturated_fat,within_tol,1,
c31_增雞蛋白餐,per_serving.trans_fat,within_tol,0,
c31_增雞蛋白餐,per_serving.carbohydrates,within_tol,1,
c31_增雞蛋白餐,per_serving.sugar,within_tol,1,
c31_增雞蛋白餐,per_serving.sodium,within_tol,1,
c31_增雞蛋白餐,serving_size,within_tol,1,
c31_增雞蛋白餐,servings_per_container,within_tol,1,
c32_奧利奧捲心酥-巧克力口味,is_food_label,correct,1,
c32_奧利奧捲心酥-巧克力口味,name,exact,0,sim=0.82
c32_奧利奧捲心酥-巧克力口味,brand,exact,0,sim=0.00
c32_奧利奧捲心酥-巧克力口味,manufacturer,exact,1,sim=1.00
c32_奧利奧捲心酥-巧克力口味,allergy_warning,exact,0,sim=0.77
c32_奧利奧捲心酥-巧克力口味,ingredients_list,f1,0.833,tp=10 fp=2 fn=2
c32_奧利奧捲心酥-巧克力口味,ingredients_flat,f1,0.857,tp=12 fp=2 fn=2
c32_奧利奧捲心酥-巧克力口味,ingredients_raw,char_sim,0.895,
c32_奧利奧捲心酥-巧克力口味,nutrition.calories,within_tol,1,
c32_奧利奧捲心酥-巧克力口味,nutrition.protein,within_tol,1,
c32_奧利奧捲心酥-巧克力口味,nutrition.fat,within_tol,1,
c32_奧利奧捲心酥-巧克力口味,nutrition.saturated_fat,within_tol,1,
c32_奧利奧捲心酥-巧克力口味,nutrition.trans_fat,within_tol,1,
c32_奧利奧捲心酥-巧克力口味,nutrition.carbohydrates,within_tol,1,
